2024_ID,Status,Transitions
CITY OF CHICAGO:Ward 41 Precinct 30,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 30', 'pct': 99.96}]"
CITY OF CHICAGO:Ward 41 Precinct 31,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 31', 'pct': 99.98}]"
CITY OF CHICAGO:Ward 44 Precinct 19,SPLIT,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 43.55}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 24.9}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 23.73}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 5.31}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 2.51}]"
CITY OF CHICAGO:Ward 45 Precinct 01,SPLIT,"[{'new_id': 'COOK:8200001', 'pct': 52.7}, {'new_id': 'COOK:8200002', 'pct': 46.87}]"
CITY OF CHICAGO:Ward 45 Precinct 03,SPLIT,"[{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 21.37}, {'new_id': 'COOK:8200026', 'pct': 21.18}, {'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 13.05}, {'new_id': 'COOK:8200006', 'pct': 11.8}, {'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 11.8}, {'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 7.39}, {'new_id': 'COOK:8200026', 'pct': 7.39}, {'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 2.86}, {'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 03', 'pct': 2.86}]"
CITY OF CHICAGO:Ward 45 Precinct 05,SPLIT,"[{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 46.92}, {'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 28.64}, {'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 10.58}, {'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 7.03}, {'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 4.11}]"
CITY OF CHICAGO:Ward 46 Precinct 03,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 06', 'pct': 99.92}]"
CITY OF CHICAGO:Ward 46 Precinct 05,SPLIT,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 05', 'pct': 39.64}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 05', 'pct': 38.6}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 06', 'pct': 9.53}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 12', 'pct': 3.13}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 06', 'pct': 2.37}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 05', 'pct': 2.14}]"
CITY OF CHICAGO:Ward 46 Precinct 06,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 06', 'pct': 99.9}]"
CITY OF CHICAGO:Ward 46 Precinct 07,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 07', 'pct': 99.92}]"
CITY OF CHICAGO:Ward 46 Precinct 08,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 08', 'pct': 99.98}]"
CITY OF CHICAGO:Ward 46 Precinct 09,SPLIT,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 95.74}, {'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 4.26}]"
CITY OF CHICAGO:Ward 46 Precinct 10,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 99.96}]"
CITY OF CHICAGO:Ward 46 Precinct 11,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 11', 'pct': 99.87}]"
CITY OF CHICAGO:Ward 46 Precinct 12,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 12', 'pct': 99.86}]"
CITY OF CHICAGO:Ward 46 Precinct 13,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 13', 'pct': 99.89}]"
CITY OF CHICAGO:Ward 46 Precinct 14,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 14', 'pct': 99.73}]"
CITY OF CHICAGO:Ward 46 Precinct 15,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 15', 'pct': 99.85}]"
CITY OF CHICAGO:Ward 46 Precinct 16,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 16', 'pct': 99.97}]"
CITY OF CHICAGO:Ward 46 Precinct 17,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 17', 'pct': 99.92}]"
CITY OF CHICAGO:Ward 46 Precinct 18,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 18', 'pct': 99.93}]"
CITY OF CHICAGO:Ward 46 Precinct 19,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 19', 'pct': 99.9}]"
CITY OF CHICAGO:Ward 46 Precinct 20,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 20', 'pct': 99.89}]"
CITY OF CHICAGO:Ward 46 Precinct 21,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 21', 'pct': 99.88}]"
CITY OF CHICAGO:Ward 46 Precinct 22,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 22', 'pct': 99.91}]"
CITY OF CHICAGO:Ward 46 Precinct 23,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 23', 'pct': 99.91}]"
CITY OF CHICAGO:Ward 47 Precinct 01,SPLIT,"[{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 62.88}, {'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 19', 'pct': 14.1}, {'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 19', 'pct': 9.27}, {'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 8.84}, {'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 4.82}]"
CITY OF CHICAGO:Ward 47 Precinct 02,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 02', 'pct': 99.92}]"
CITY OF CHICAGO:Ward 47 Precinct 03,SPLIT,"[{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 02', 'pct': 35.64}, {'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 21', 'pct': 16.7}, {'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 21', 'pct': 14.98}, {'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 13.45}, {'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 21', 'pct': 8.74}, {'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 11', 'pct': 5.84}, {'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 04', 'pct': 4.65}]"
CITY OF CHICAGO:Ward 47 Precinct 04,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 04', 'pct': 99.95}]"
CITY OF CHICAGO:Ward 47 Precinct 05,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 05', 'pct': 99.93}]"
CITY OF CHICAGO:Ward 47 Precinct 06,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 06', 'pct': 99.91}]"
CITY OF CHICAGO:Ward 47 Precinct 11,SPLIT,"[{'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 11', 'pct': 85.12}, {'new_id': 'CITY OF CHICAGO:Ward 47 Precinct 04', 'pct': 14.88}]"
CITY OF CHICAGO:Ward 47 Precinct 20,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 100.0}]"
