JoinField,PresDem,PresRep,PresTot,tot_vote_2018_weighted,,board,portion,
ADAMS:QUINCY PCT 24,154,572,746,0,ADAMS:QUINCY PCT 24,ADAMS,,0
ADAMS:QUINCY PCT 25,231,486,729,0,ADAMS:QUINCY PCT 25,ADAMS,,0
ADAMS:QUINCY PCT 26,145,361,519,0,ADAMS:QUINCY PCT 26,ADAMS,,0
ADAMS:QUINCY PCT 27,198,409,614,0,ADAMS:QUINCY PCT 27,ADAMS,,0
ADAMS:QUINCY PCT 28,182,386,575,0,ADAMS:QUINCY PCT 28,ADAMS,,0
ADAMS:QUINCY PCT 29,189,360,560,0,ADAMS:QUINCY PCT 29,ADAMS,,0
ADAMS:QUINCY PCT 3,140,221,372,0,ADAMS:QUINCY PCT 3,ADAMS,,0
ADAMS:QUINCY PCT 30,105,248,365,0,ADAMS:QUINCY PCT 30,ADAMS,,0
ADAMS:QUINCY PCT 31,173,395,581,0,ADAMS:QUINCY PCT 31,ADAMS,,0
ADAMS:QUINCY PCT 32,149,358,522,0,ADAMS:QUINCY PCT 32,ADAMS,,0
ADAMS:QUINCY PCT 33,157,303,474,0,ADAMS:QUINCY PCT 33,ADAMS,,0
ADAMS:QUINCY PCT 34,116,226,352,0,ADAMS:QUINCY PCT 34,ADAMS,,0
ADAMS:QUINCY PCT 35,136,327,471,0,ADAMS:QUINCY PCT 35,ADAMS,,0
ADAMS:QUINCY PCT 36,78,120,204,0,ADAMS:QUINCY PCT 36,ADAMS,,0
ADAMS:QUINCY PCT 37,140,220,367,0,ADAMS:QUINCY PCT 37,ADAMS,,0
ADAMS:QUINCY PCT 38,105,229,344,0,ADAMS:QUINCY PCT 38,ADAMS,,0
ADAMS:QUINCY PCT 39,126,175,312,0,ADAMS:QUINCY PCT 39,ADAMS,,0
ADAMS:QUINCY PCT 4,140,320,475,0,ADAMS:QUINCY PCT 4,ADAMS,,0
ADAMS:QUINCY PCT 40,130,148,283,0,ADAMS:QUINCY PCT 40,ADAMS,,0
ADAMS:QUINCY PCT 5,120,133,255,0,ADAMS:QUINCY PCT 5,ADAMS,,0
ADAMS:QUINCY PCT 6,54,64,121,0,ADAMS:QUINCY PCT 6,ADAMS,,0
ADAMS:QUINCY PCT 7,83,41,126,0,ADAMS:QUINCY PCT 7,ADAMS,,0
ADAMS:QUINCY PCT 8,122,261,392,0,ADAMS:QUINCY PCT 8,ADAMS,,0
ADAMS:QUINCY PCT 9,143,397,549,0,ADAMS:QUINCY PCT 9,ADAMS,,0
ADAMS:RICHFIELD PCT 1,19,216,238,0,ADAMS:RICHFIELD PCT 1,ADAMS,,0
ADAMS:RIVERSIDE PCT 1,101,349,464,0,ADAMS:RIVERSIDE PCT 1,ADAMS,,0
ADAMS:RIVERSIDE PCT 2,81,302,390,0,ADAMS:RIVERSIDE PCT 2,ADAMS,,0
ADAMS:RIVERSIDE PCT 3,115,443,570,0,ADAMS:RIVERSIDE PCT 3,ADAMS,,0
ADAMS:URSA PCT 1,83,508,598,0,ADAMS:URSA PCT 1,ADAMS,,0
ALEXANDER:CACHE,50,38,90,0,ALEXANDER:CACHE,ALEXANDER,,0
ALEXANDER:CAIRO 1,104,22,128,0,ALEXANDER:CAIRO 1,ALEXANDER,,0
ALEXANDER:CAIRO 2,86,11,99,0,ALEXANDER:CAIRO 2,ALEXANDER,,0
ALEXANDER:CAIRO 3,60,8,68,0,ALEXANDER:CAIRO 3,ALEXANDER,,0
ALEXANDER:CAIRO 4,149,88,244,0,ALEXANDER:CAIRO 4,ALEXANDER,,0
ALEXANDER:CAIRO 5,69,26,99,0,ALEXANDER:CAIRO 5,ALEXANDER,,0
ALEXANDER:MCCLURE,71,207,280,0,ALEXANDER:MCCLURE,ALEXANDER,,0
ALEXANDER:OLIVE BRANCH,61,297,362,0,ALEXANDER:OLIVE BRANCH,ALEXANDER,,0
ALEXANDER:SANDUSKY,85,50,137,0,ALEXANDER:SANDUSKY,ALEXANDER,,0
ALEXANDER:TAMMS,124,333,463,0,ALEXANDER:TAMMS,ALEXANDER,,0
ALEXANDER:THEBES,45,261,306,0,ALEXANDER:THEBES,ALEXANDER,,0
BOND:BURGESS 1,111,349,473,0,BOND:BURGESS 1,BOND,,0
BOND:BURGESS 2,59,280,345,0,BOND:BURGESS 2,BOND,,0
BOND:BURGESS 3,62,296,369,0,BOND:BURGESS 3,BOND,,0
BOND:CENTRAL 1,181,380,582,0,BOND:CENTRAL 1,BOND,,0
BOND:CENTRAL 1-A,132,296,440,0,BOND:CENTRAL 1-A,BOND,,0
BOND:CENTRAL 2,110,184,304,0,BOND:CENTRAL 2,BOND,,0
BOND:CENTRAL 3,122,138,276,0,BOND:CENTRAL 3,BOND,,0
BOND:CENTRAL 4,185,445,650,0,BOND:CENTRAL 4,BOND,,0
BOND:CENTRAL 6,110,231,351,0,BOND:CENTRAL 6,BOND,,0
BOND:CENTRAL 7,111,236,353,0,BOND:CENTRAL 7,BOND,,0
BOND:LAGRANGE,196,534,745,0,BOND:LAGRANGE,BOND,,0
BOND:MILLS,64,223,291,0,BOND:MILLS,BOND,,0
BOND:MULBERRY GROVE 1,69,302,380,0,BOND:MULBERRY GROVE 1,BOND,,0
BOND:MULBERRY GROVE 2,66,178,247,0,BOND:MULBERRY GROVE 2,BOND,,0
BOND:OLD RIPLEY,123,376,513,0,BOND:OLD RIPLEY,BOND,,0
BOND:PLEASANT MOUND 1,51,211,270,0,BOND:PLEASANT MOUND 1,BOND,,0
BOND:PLEASANT MOUND 2,76,183,266,0,BOND:PLEASANT MOUND 2,BOND,,0
BOND:SHOAL CREEK 1,203,557,770,0,BOND:SHOAL CREEK 1,BOND,,0
BOND:SHOAL CREEK 2,32,91,128,0,BOND:SHOAL CREEK 2,BOND,,0
BOND:TAMALCO,54,202,263,0,BOND:TAMALCO,BOND,,0
BOONE:BELVIDERE 1,80,78,163,0,BOONE:BELVIDERE 1,BOONE,,0
BOONE:BELVIDERE 10,376,473,869,0,BOONE:BELVIDERE 10,BOONE,,0
BOONE:BELVIDERE 11,188,207,402,0,BOONE:BELVIDERE 11,BOONE,,0
BOONE:BELVIDERE 12,78,140,223,0,BOONE:BELVIDERE 12,BOONE,,0
BOONE:BELVIDERE 13,399,593,1021,0,BOONE:BELVIDERE 13,BOONE,,0
BOONE:BELVIDERE 14,487,589,1099,0,BOONE:BELVIDERE 14,BOONE,,0
BOONE:BELVIDERE 15,128,168,300,0,BOONE:BELVIDERE 15,BOONE,,0
BOONE:BELVIDERE 16,551,679,1264,0,BOONE:BELVIDERE 16,BOONE,,0
BOONE:BELVIDERE 17,467,798,1284,0,BOONE:BELVIDERE 17,BOONE,,0
BOONE:BELVIDERE 18,464,722,1218,0,BOONE:BELVIDERE 18,BOONE,,0
BOONE:BELVIDERE 2,276,296,580,0,BOONE:BELVIDERE 2,BOONE,,0
BOONE:BELVIDERE 3,292,316,621,0,BOONE:BELVIDERE 3,BOONE,,0
BOONE:BELVIDERE 4,505,462,989,0,BOONE:BELVIDERE 4,BOONE,,0
BOONE:BELVIDERE 5,137,147,290,0,BOONE:BELVIDERE 5,BOONE,,0
BOONE:BELVIDERE 6,343,359,722,0,BOONE:BELVIDERE 6,BOONE,,0
BOONE:BELVIDERE 7,248,251,511,0,BOONE:BELVIDERE 7,BOONE,,0
BOONE:BELVIDERE 8,114,155,276,0,BOONE:BELVIDERE 8,BOONE,,0
BOONE:BELVIDERE 9,323,424,764,0,BOONE:BELVIDERE 9,BOONE,,0
BOONE:BONUS 1,441,684,1143,0,BOONE:BONUS 1,BOONE,,0
BOONE:BONUS 2,467,500,994,0,BOONE:BONUS 2,BOONE,,0
BOONE:CALEDONIA 1,62,94,163,0,BOONE:CALEDONIA 1,BOONE,,0
BOONE:CALEDONIA 2,428,535,982,0,BOONE:CALEDONIA 2,BOONE,,0
BOONE:CALEDONIA 3,400,514,936,0,BOONE:CALEDONIA 3,BOONE,,0
BOONE:CALEDONIA 4,352,556,933,0,BOONE:CALEDONIA 4,BOONE,,0
BOONE:CALEDONIA 5,381,476,875,0,BOONE:CALEDONIA 5,BOONE,,0
BOONE:FLORA 1,383,364,762,0,BOONE:FLORA 1,BOONE,,0
BOONE:FLORA 2,147,274,429,0,BOONE:FLORA 2,BOONE,,0
BOONE:FLORA 3,31,57,90,0,BOONE:FLORA 3,BOONE,,0
BOONE:MANCHESTER,190,374,572,0,BOONE:MANCHESTER,BOONE,,0
BOONE:POPLAR GROVE 1,46,95,143,0,BOONE:POPLAR GROVE 1,BOONE,,0
BOONE:POPLAR GROVE 2,453,685,1161,0,BOONE:POPLAR GROVE 2,BOONE,,0
BOONE:POPLAR GROVE 3,245,306,561,0,BOONE:POPLAR GROVE 3,BOONE,,0
BOONE:POPLAR GROVE 4,46,57,103,0,BOONE:POPLAR GROVE 4,BOONE,,0
BOONE:POPLAR GROVE 5,134,234,375,0,BOONE:POPLAR GROVE 5,BOONE,,0
BROWN:BUCKHORN,5,49,54,0,BROWN:BUCKHORN,BROWN,,0
BROWN:COOPERSTOWN,26,164,194,0,BROWN:COOPERSTOWN,BROWN,,0
BROWN:ELKHORN,34,151,187,0,BROWN:ELKHORN,BROWN,,0
BROWN:LEE,27,124,155,0,BROWN:LEE,BROWN,,0
BROWN:MISSOURI,20,65,86,0,BROWN:MISSOURI,BROWN,,0
BROWN:MT. STERLING 1,121,353,490,0,BROWN:MT. STERLING 1,BROWN,,0
BROWN:MT. STERLING 2,50,188,244,0,BROWN:MT. STERLING 2,BROWN,,0
BROWN:MT. STERLING 3,19,97,119,0,BROWN:MT. STERLING 3,BROWN,,0
BROWN:MT. STERLING 4,45,170,222,0,BROWN:MT. STERLING 4,BROWN,,0
BROWN:MT. STERLING 5,47,152,203,0,BROWN:MT. STERLING 5,BROWN,,0
BROWN:PEA RIDGE,13,94,112,0,BROWN:PEA RIDGE,BROWN,,0
BROWN:RIPLEY,7,33,40,0,BROWN:RIPLEY,BROWN,,0
BROWN:VERSAILLES 1,29,126,161,0,BROWN:VERSAILLES 1,BROWN,,0
BROWN:VERSAILLES 2,24,172,198,0,BROWN:VERSAILLES 2,BROWN,,0
BUREAU:ARISPIE,125,268,399,0,BUREAU:ARISPIE,BUREAU,,0
BUREAU:BERLIN,108,257,370,0,BUREAU:BERLIN,BUREAU,,0
BUREAU:BUREAU,35,108,145,0,BUREAU:BUREAU,BUREAU,,0
BUREAU:CLARION,44,139,189,0,BUREAU:CLARION,BUREAU,,0
BUREAU:CONCORD 1,143,316,466,0,BUREAU:CONCORD 1,BUREAU,,0
BUREAU:CONCORD 2,75,206,286,0,BUREAU:CONCORD 2,BUREAU,,0
BUREAU:DOVER,89,203,296,0,BUREAU:DOVER,BUREAU,,0
BUREAU:FAIRFIELD,24,74,100,0,BUREAU:FAIRFIELD,BUREAU,,0
BUREAU:GOLD,24,69,95,0,BUREAU:GOLD,BUREAU,,0
BUREAU:GREENVILLE,36,131,168,0,BUREAU:GREENVILLE,BUREAU,,0
BUREAU:HALL 1,139,145,287,0,BUREAU:HALL 1,BUREAU,,0
BUREAU:HALL 10,143,146,295,0,BUREAU:HALL 10,BUREAU,,0
BUREAU:HALL 2,153,145,302,0,BUREAU:HALL 2,BUREAU,,0
BUREAU:HALL 3,294,247,550,0,BUREAU:HALL 3,BUREAU,,0
BUREAU:HALL 4,130,168,305,0,BUREAU:HALL 4,BUREAU,,0
BUREAU:HALL 5,110,173,294,0,BUREAU:HALL 5,BUREAU,,0
BUREAU:HALL 6,300,255,568,0,BUREAU:HALL 6,BUREAU,,0
BUREAU:HALL 7,183,229,420,0,BUREAU:HALL 7,BUREAU,,0
BUREAU:HALL 8,222,230,464,0,BUREAU:HALL 8,BUREAU,,0
BUREAU:HALL 9,177,213,409,0,BUREAU:HALL 9,BUREAU,,0
BUREAU:INDIANTOWN,85,241,335,0,BUREAU:INDIANTOWN,BUREAU,,0
BUREAU:LA MOILLE 1,151,282,441,0,BUREAU:LA MOILLE 1,BUREAU,,0
BUREAU:LA MOILLE 2,30,94,128,0,BUREAU:LA MOILLE 2,BUREAU,,0
BUREAU:LEEPERTOWN,45,90,144,0,BUREAU:LEEPERTOWN,BUREAU,,0
BUREAU:MACON,13,82,95,0,BUREAU:MACON,BUREAU,,0
BUREAU:MANLIUS,89,203,296,0,BUREAU:MANLIUS,BUREAU,,0
BUREAU:MILO,35,79,117,0,BUREAU:MILO,BUREAU,,0
BUREAU:MINERAL,77,173,255,0,BUREAU:MINERAL,BUREAU,,0
BUREAU:NEPONSET,106,218,338,0,BUREAU:NEPONSET,BUREAU,,0
BUREAU:OHIO 1,73,197,274,0,BUREAU:OHIO 1,BUREAU,,0
BUREAU:OHIO 2,25,87,116,0,BUREAU:OHIO 2,BUREAU,,0
BUREAU:PRINCETON 1,247,333,585,0,BUREAU:PRINCETON 1,BUREAU,,0
BUREAU:PRINCETON 2,192,285,487,0,BUREAU:PRINCETON 2,BUREAU,,0
BUREAU:PRINCETON 3,177,335,530,0,BUREAU:PRINCETON 3,BUREAU,,0
BUREAU:PRINCETON 4,164,267,440,0,BUREAU:PRINCETON 4,BUREAU,,0
BUREAU:PRINCETON 5,121,217,350,0,BUREAU:PRINCETON 5,BUREAU,,0
BUREAU:PRINCETON 6,194,287,493,0,BUREAU:PRINCETON 6,BUREAU,,0
BUREAU:PRINCETON 7,159,235,408,0,BUREAU:PRINCETON 7,BUREAU,,0
BUREAU:PRINCETON 8,228,247,492,0,BUREAU:PRINCETON 8,BUREAU,,0
BUREAU:PRINCETON 9,205,373,597,0,BUREAU:PRINCETON 9,BUREAU,,0
BUREAU:SELBY 1,65,129,201,0,BUREAU:SELBY 1,BUREAU,,0
BUREAU:SELBY 2,117,141,263,0,BUREAU:SELBY 2,BUREAU,,0
BUREAU:SELBY 3,153,86,248,0,BUREAU:SELBY 3,BUREAU,,0
BUREAU:WALNUT 1,141,290,446,0,BUREAU:WALNUT 1,BUREAU,,0
BUREAU:WALNUT 2,116,279,402,0,BUREAU:WALNUT 2,BUREAU,,0
BUREAU:WESTFIELD 1,50,99,152,0,BUREAU:WESTFIELD 1,BUREAU,,0
BUREAU:WESTFIELD 2,126,200,332,0,BUREAU:WESTFIELD 2,BUREAU,,0
BUREAU:WHEATLAND,17,57,76,0,BUREAU:WHEATLAND,BUREAU,,0
BUREAU:WYANET 1,78,247,333,0,BUREAU:WYANET 1,BUREAU,,0
BUREAU:WYANET 2,67,209,289,0,BUREAU:WYANET 2,BUREAU,,0
CALHOUN:BELLEVIEW-HAMBURG,83,309,397,0,CALHOUN:BELLEVIEW-HAMBURG,CALHOUN,,0
CALHOUN:CRATER-CARLIN,84,264,350,0,CALHOUN:CRATER-CARLIN,CALHOUN,,0
CALHOUN:HARDIN-GILEAD,134,662,821,0,CALHOUN:HARDIN-GILEAD,CALHOUN,,0
CALHOUN:POINT,160,444,624,0,CALHOUN:POINT,CALHOUN,,0
CALHOUN:RICHWOODS,99,380,492,0,CALHOUN:RICHWOODS,CALHOUN,,0
CARROLL:CHERRY GROVE/SHANNON 1,92,281,378,0,CARROLL:CHERRY GROVE/SHANNON 1,CARROLL,,0
CARROLL:CHERRY GROVE/SHANNON 2,115,377,503,0,CARROLL:CHERRY GROVE/SHANNON 2,CARROLL,,0
CARROLL:ELKHORN GROVE,37,79,120,0,CARROLL:ELKHORN GROVE,CARROLL,,0
CARROLL:FAIR HAVEN,130,296,441,0,CARROLL:FAIR HAVEN,CARROLL,,0
CARROLL:FREEDOM,185,401,597,0,CARROLL:FREEDOM,CARROLL,,0
CARROLL:MT. CARROLL 1,113,190,312,0,CARROLL:MT. CARROLL 1,CARROLL,,0
CARROLL:MT. CARROLL 2,200,334,542,0,CARROLL:MT. CARROLL 2,CARROLL,,0
CARROLL:MT. CARROLL 3,101,175,289,0,CARROLL:MT. CARROLL 3,CARROLL,,0
CARROLL:ROCK CREEK-LIMA 1,169,315,491,0,CARROLL:ROCK CREEK-LIMA 1,CARROLL,,0
CARROLL:ROCK CREEK-LIMA 2,171,364,547,0,CARROLL:ROCK CREEK-LIMA 2,CARROLL,,0
CARROLL:SALEM,55,138,196,0,CARROLL:SALEM,CARROLL,,0
CARROLL:SAVANNA 1,76,103,187,0,CARROLL:SAVANNA 1,CARROLL,,0
CARROLL:SAVANNA 2,69,93,165,0,CARROLL:SAVANNA 2,CARROLL,,0
CARROLL:SAVANNA 3,79,68,152,0,CARROLL:SAVANNA 3,CARROLL,,0
CARROLL:SAVANNA 4,140,176,320,0,CARROLL:SAVANNA 4,CARROLL,,0
CARROLL:SAVANNA 5,116,160,279,0,CARROLL:SAVANNA 5,CARROLL,,0
CARROLL:SAVANNA 6,137,232,382,0,CARROLL:SAVANNA 6,CARROLL,,0
CARROLL:WASHINGTON,66,113,184,0,CARROLL:WASHINGTON,CARROLL,,0
CARROLL:WOODLAND,49,110,162,0,CARROLL:WOODLAND,CARROLL,,0
CARROLL:WYSOX 1,123,263,396,0,CARROLL:WYSOX 1,CARROLL,,0
CARROLL:WYSOX 2,72,197,270,0,CARROLL:WYSOX 2,CARROLL,,0
CARROLL:YORK,305,616,943,0,CARROLL:YORK,CARROLL,,0
CASS:ARENZVILLE 11-001,75,338,419,0,CASS:ARENZVILLE 11-001,CASS,,0
CASS:ASHLAND 20-002,70,186,263,0,CASS:ASHLAND 20-002,CASS,,0
CASS:ASHLAND 21-002,101,318,425,0,CASS:ASHLAND 21-002,CASS,,0
CASS:BEARDSTOWN 1-003,73,101,177,0,CASS:BEARDSTOWN 1-003,CASS,,0
CASS:BEARDSTOWN 2-003,96,193,295,0,CASS:BEARDSTOWN 2-003,CASS,,0
CASS:BEARDSTOWN 3-003,46,88,134,0,CASS:BEARDSTOWN 3-003,CASS,,0
CASS:BEARDSTOWN 4-003,89,108,203,0,CASS:BEARDSTOWN 4-003,CASS,,0
CASS:BEARDSTOWN 5-004,64,96,162,0,CASS:BEARDSTOWN 5-004,CASS,,0
CASS:BEARDSTOWN 6-004,109,161,282,0,CASS:BEARDSTOWN 6-004,CASS,,0
CASS:BEARDSTOWN 7-004,144,285,435,0,CASS:BEARDSTOWN 7-004,CASS,,0
CASS:BEARDSTOWN 8-004,38,104,144,0,CASS:BEARDSTOWN 8-004,CASS,,0
CASS:BLUFF SPRINGS 10-001,129,382,512,0,CASS:BLUFF SPRINGS 10-001,CASS,,0
CASS:CHANDLERVILLE 18-002,42,166,214,0,CASS:CHANDLERVILLE 18-002,CASS,,0
CASS:HAGENER 9-004,34,145,181,0,CASS:HAGENER 9-004,CASS,,0
CASS:NEWMANSVILLE 19-002,2,37,44,0,CASS:NEWMANSVILLE 19-002,CASS,,0
CASS:PANTHER CREEK 17-002,44,144,190,0,CASS:PANTHER CREEK 17-002,CASS,,0
CASS:PHILADELPHIA 16-002,24,96,122,0,CASS:PHILADELPHIA 16-002,CASS,,0
CASS:SANGAMON VALLEY 12-001,43,143,187,0,CASS:SANGAMON VALLEY 12-001,CASS,,0
CASS:VIRGINIA 13-001,70,188,263,0,CASS:VIRGINIA 13-001,CASS,,0
CASS:VIRGINIA 14-001,48,156,208,0,CASS:VIRGINIA 14-001,CASS,,0
CASS:VIRGINIA 15-001,97,277,381,0,CASS:VIRGINIA 15-001,CASS,,0
CHAMPAIGN:AYERS,58,165,232,0,CHAMPAIGN:AYERS,CHAMPAIGN,,0
CHAMPAIGN:BROWN FISHER,236,646,898,0,CHAMPAIGN:BROWN FISHER,CHAMPAIGN,,0
CHAMPAIGN:BROWN FOOSLAND,29,93,124,0,CHAMPAIGN:BROWN FOOSLAND,CHAMPAIGN,,0
CHAMPAIGN:CHAMPAIGN 1,81,40,127,0,CHAMPAIGN:CHAMPAIGN 1,CHAMPAIGN,,0
CHAMPAIGN:CHAMPAIGN 2,812,502,1377,0,CHAMPAIGN:CHAMPAIGN 2,CHAMPAIGN,,0
CHAMPAIGN:CHAMPAIGN 3,799,598,1456,0,CHAMPAIGN:CHAMPAIGN 3,CHAMPAIGN,,0
CHAMPAIGN:CHAMPAIGN 4,1216,557,1845,0,CHAMPAIGN:CHAMPAIGN 4,CHAMPAIGN,,0
CHAMPAIGN:CHAMPAIGN 5,905,501,1462,0,CHAMPAIGN:CHAMPAIGN 5,CHAMPAIGN,,0
CHAMPAIGN:CHAMPAIGN 6,905,418,1386,0,CHAMPAIGN:CHAMPAIGN 6,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 1,443,44,499,0,CHAMPAIGN:CITY OF CHAMPAIGN 1,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 10,334,86,432,0,CHAMPAIGN:CITY OF CHAMPAIGN 10,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 11,848,125,1015,0,CHAMPAIGN:CITY OF CHAMPAIGN 11,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 12,688,128,865,0,CHAMPAIGN:CITY OF CHAMPAIGN 12,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 13,780,116,932,0,CHAMPAIGN:CITY OF CHAMPAIGN 13,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 14,287,65,365,0,CHAMPAIGN:CITY OF CHAMPAIGN 14,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 15,504,126,657,0,CHAMPAIGN:CITY OF CHAMPAIGN 15,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 16,385,134,544,0,CHAMPAIGN:CITY OF CHAMPAIGN 16,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 17,972,384,1403,0,CHAMPAIGN:CITY OF CHAMPAIGN 17,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 18,589,263,875,0,CHAMPAIGN:CITY OF CHAMPAIGN 18,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 19,528,145,698,0,CHAMPAIGN:CITY OF CHAMPAIGN 19,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 2,642,97,775,0,CHAMPAIGN:CITY OF CHAMPAIGN 2,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 20,624,130,775,0,CHAMPAIGN:CITY OF CHAMPAIGN 20,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 21,353,107,479,0,CHAMPAIGN:CITY OF CHAMPAIGN 21,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 22,210,101,317,0,CHAMPAIGN:CITY OF CHAMPAIGN 22,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 23,255,112,383,0,CHAMPAIGN:CITY OF CHAMPAIGN 23,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 24,917,361,1323,0,CHAMPAIGN:CITY OF CHAMPAIGN 24,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 25,360,118,503,0,CHAMPAIGN:CITY OF CHAMPAIGN 25,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 26,560,187,771,0,CHAMPAIGN:CITY OF CHAMPAIGN 26,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 27,328,125,467,0,CHAMPAIGN:CITY OF CHAMPAIGN 27,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 28,227,100,336,0,CHAMPAIGN:CITY OF CHAMPAIGN 28,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 29,314,149,475,0,CHAMPAIGN:CITY OF CHAMPAIGN 29,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 3,1083,236,1388,0,CHAMPAIGN:CITY OF CHAMPAIGN 3,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 30,345,81,437,0,CHAMPAIGN:CITY OF CHAMPAIGN 30,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 31,354,122,486,0,CHAMPAIGN:CITY OF CHAMPAIGN 31,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 32,567,247,840,0,CHAMPAIGN:CITY OF CHAMPAIGN 32,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 33,771,332,1130,0,CHAMPAIGN:CITY OF CHAMPAIGN 33,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 34,1401,670,2123,0,CHAMPAIGN:CITY OF CHAMPAIGN 34,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 35,656,278,954,0,CHAMPAIGN:CITY OF CHAMPAIGN 35,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 36,486,250,764,0,CHAMPAIGN:CITY OF CHAMPAIGN 36,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 37,993,527,1561,0,CHAMPAIGN:CITY OF CHAMPAIGN 37,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 38,895,399,1367,0,CHAMPAIGN:CITY OF CHAMPAIGN 38,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 39,772,347,1159,0,CHAMPAIGN:CITY OF CHAMPAIGN 39,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 4,678,276,1004,0,CHAMPAIGN:CITY OF CHAMPAIGN 4,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 5,1170,186,1384,0,CHAMPAIGN:CITY OF CHAMPAIGN 5,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 6,875,234,1144,0,CHAMPAIGN:CITY OF CHAMPAIGN 6,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 7,1186,312,1542,0,CHAMPAIGN:CITY OF CHAMPAIGN 7,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 8,942,269,1240,0,CHAMPAIGN:CITY OF CHAMPAIGN 8,CHAMPAIGN,,0
CHAMPAIGN:CITY OF CHAMPAIGN 9,461,95,573,0,CHAMPAIGN:CITY OF CHAMPAIGN 9,CHAMPAIGN,,0
CHAMPAIGN:COLFAX,52,79,136,0,CHAMPAIGN:COLFAX,CHAMPAIGN,,0
CHAMPAIGN:COMPROMISE GIFFORD,74,479,562,0,CHAMPAIGN:COMPROMISE GIFFORD,CHAMPAIGN,,0
CHAMPAIGN:COMPROMISE PENFIELD,45,126,175,0,CHAMPAIGN:COMPROMISE PENFIELD,CHAMPAIGN,,0
CHAMPAIGN:CONDIT,58,230,295,0,CHAMPAIGN:CONDIT,CHAMPAIGN,,0
CHAMPAIGN:CRITTENDEN,59,154,215,0,CHAMPAIGN:CRITTENDEN,CHAMPAIGN,,0
CHAMPAIGN:CUNNINGHAM 1,717,79,815,0,CHAMPAIGN:CUNNINGHAM 1,CHAMPAIGN,,0
CHAMPAIGN:CUNNINGHAM 10,485,28,526,0,CHAMPAIGN:CUNNINGHAM 10,CHAMPAIGN,,0
CHAMPAIGN:CUNNINGHAM 11,325,33,381,0,CHAMPAIGN:CUNNINGHAM 11,CHAMPAIGN,,0
CHAMPAIGN:CUNNINGHAM 12,781,81,908,0,CHAMPAIGN:CUNNINGHAM 12,CHAMPAIGN,,0
CHAMPAIGN:CUNNINGHAM 13,462,90,568,0,CHAMPAIGN:CUNNINGHAM 13,CHAMPAIGN,,0
CHAMPAIGN:CUNNINGHAM 14,658,101,775,0,CHAMPAIGN:CUNNINGHAM 14,CHAMPAIGN,,0
CHAMPAIGN:CUNNINGHAM 15,428,76,522,0,CHAMPAIGN:CUNNINGHAM 15,CHAMPAIGN,,0
