2024_ID,Status,Transitions,new_id
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 2.9}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 2.27}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 45.69}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 26.78}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 14.14}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 8.54}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 4.85}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 14,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 99.94}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 40 Precinct 15,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 15', 'pct': 99.92}",CITY OF CHICAGO:Ward 40 Precinct 15
CITY OF CHICAGO:Ward 40 Precinct 16,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 16', 'pct': 99.89}",CITY OF CHICAGO:Ward 40 Precinct 16
CITY OF CHICAGO:Ward 40 Precinct 19,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 19', 'pct': 99.95}",CITY OF CHICAGO:Ward 40 Precinct 19
CITY OF CHICAGO:Ward 40 Precinct 20,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 99.94}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 21,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 21', 'pct': 99.91}",CITY OF CHICAGO:Ward 40 Precinct 21
CITY OF CHICAGO:Ward 41 Precinct 24,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 24', 'pct': 100.0}",CITY OF CHICAGO:Ward 41 Precinct 24
CITY OF CHICAGO:Ward 41 Precinct 26,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 46.32}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 26,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 28.85}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 26,SPLIT,"{'new_id': 'COOK:8200009', 'pct': 14.66}",COOK:8200009
CITY OF CHICAGO:Ward 41 Precinct 26,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 4.19}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 26,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 3.83}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 26,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 2.16}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 28,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 29', 'pct': 63.97}",CITY OF CHICAGO:Ward 41 Precinct 29
CITY OF CHICAGO:Ward 41 Precinct 28,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 41 Precinct 31', 'pct': 18.98}",CITY OF CHICAGO:Ward 41 Precinct 31
